member_no,lastname,firstname,issue_dt,expr_dt,region_no,corp_no
689,MAKAI,HGWTYRXF,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
690,NELSON,CXBRTWNWN,1999-10-13 10:41:41,2000-10-12 10:41:41,3,461
691,OLPHANT,LJGZLIXYSOI,1999-10-13 10:41:41,2000-10-12 10:41:41,3,304
692,PAYNTER,MVTSGUYVMTKIWM,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
693,QUINT,SBXQUDXTSWSU,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
694,RYAN,KXFQLBQJCWRF,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
695,STEIN,NXJWOTXDPKCJES,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
696,TOLSKY,PGNMHPVPX,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
697,UNAKLET,QJBWZS,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
698,VANN,ZKAME,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
699,WOLFMULE,FFTKMDNITR,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
700,XAVIER,GTISTEOPJFRNMG,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
701,YEONG,TITCMOMWFPNC,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
702,ZUCKER,OJHAEFJXRTI,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
703,ANDERSON,GTKSBXSXS,1999-10-13 10:41:41,2000-10-12 10:41:41,5,195
704,BARR,MQJTHSO,1999-10-13 10:41:41,2000-10-12 10:41:41,5,
705,CHEN,BMYVNXOBXQHTNX,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
706,DORR,TXIMIQOGOBSFVD,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
707,EFLIN,PXBODKRQQT,1999-10-13 10:41:41,2000-10-12 10:41:41,5,
708,FLORINI,AAPVOTRAORPXOY,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
709,GOHAN,BXVYLRFHXGQAHO,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
710,HAHN,YBNJCSNWOYLHWM,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
711,INFANTE,KUXV,1999-10-13 10:41:41,2000-10-12 10:41:41,8,449
712,JONES,FUVCYQDEQLCJWV,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
713,KAHRMANN,OEFWHEVHLIWJVO,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
714,LING,DIRBFODYZTYRGH,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
715,MAKAI,SMIN,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
716,NELSON,UUSPRACEJY,1999-10-13 10:41:41,2000-10-12 10:41:41,6,
717,OLPHANT,BVOLMYWEHO,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
718,PAYNTER,FFBN,1999-10-13 10:41:41,2000-10-12 10:41:41,7,
719,QUINT,XVOLDZNE,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
720,RYAN,OHTCCXUGDJVYUU,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
721,STEIN,HJDKDG,1999-10-13 10:41:41,2000-10-12 10:41:41,9,
722,TOLSKY,QFZUUFUEVMZS,1999-10-13 10:41:41,2000-10-12 10:41:41,6,
723,UNAKLET,WLQXPYMR,1999-10-13 10:41:41,2000-10-12 10:41:41,9,
724,VANN,RJRUXRIXSNB,1999-10-13 10:41:41,2000-10-12 10:41:41,6,
725,WOLFMULE,KEBPBKQLBLUDVE,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
726,XAVIER,OSBWNJ,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
727,YEONG,IPINW,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
728,ZUCKER,SGTADTR,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
729,ANDERSON,VFONESCKPVHBSW,1999-10-13 10:41:41,2000-10-12 10:41:41,6,
730,BARR,SXTFYXKNWQIDID,1999-10-13 10:41:41,2000-10-12 10:41:41,3,315
731,CHEN,SBR,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
732,DORR,SXGACGVQTNJ,1999-10-13 10:41:41,2000-10-12 10:41:41,9,
733,EFLIN,KGO,1999-10-13 10:41:41,2000-10-12 10:41:41,9,
734,FLORINI,ADRTCOK,1999-10-13 10:41:41,2000-10-12 10:41:41,8,473
735,GOHAN,MJCPEGV,1999-10-13 10:41:41,2000-10-12 10:41:41,9,462
736,HAHN,PGSYRVGRJRWXQD,1999-10-13 10:41:41,2000-10-12 10:41:41,5,
737,INFANTE,IQEJVGXZQFXTFB,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
738,JONES,PSTEN,1999-10-13 10:41:41,2000-10-12 10:41:41,9,
739,KAHRMANN,LXQV,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
740,LING,MJRXFZMFOMHQBZ,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
741,MAKAI,JSUHK,1999-10-13 10:41:41,2000-10-12 10:41:41,5,
742,NELSON,EUXEGIJAPZJYNN,1999-10-13 10:41:41,2000-10-12 10:41:41,5,362
743,OLPHANT,YJOC,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
744,PAYNTER,VJPKFJYURXISIR,1999-10-13 10:41:41,2000-10-12 10:41:41,4,
745,QUINT,FLW,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
746,RYAN,IZYELD,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
747,STEIN,CPZDJSZXCJ,1999-10-13 10:41:41,2000-10-12 10:41:41,8,
748,TOLSKY,SDMKAWPPJMMRBP,1999-10-13 10:41:41,2000-10-12 10:41:41,5,
749,UNAKLET,BYUOJOCRM,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
750,VANN,PJBXDKGONRNZP,1999-10-13 10:41:41,2000-10-12 10:41:41,6,
751,WOLFMULE,MQNECAOIHKPDBA,1999-10-13 10:41:41,2000-10-12 10:41:41,3,
752,XAVIER,ZYYDLQOZ,1999-10-13 10:41:41,2000-10-12 10:41:41,2,
753,YEONG,LRRPPSSJOHQ,1999-10-13 10:41:41,2000-10-12 10:41:41,5,
754,ZUCKER,DQOJFYLHBL,1999-10-13 10:41:41,2000-10-12 10:41:41,7,154
755,ANDERSON,MGAUOROGLNKTVR,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
756,BARR,VEBXWHITPWOTTK,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
757,CHEN,SPXPZT,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
758,DORR,DCMNWOWTSJLVXS,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
759,EFLIN,JODDZPEWVGNRJK,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
760,FLORINI,QXMSQMVONGSSOA,1999-10-13 10:41:42,2000-10-12 10:41:42,9,226
761,GOHAN,JWFDI,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
762,HAHN,XFPTYLNDYTLB,1999-10-13 10:41:42,2000-10-12 10:41:42,2,470
763,INFANTE,PODFQOFZGM,1999-10-13 10:41:42,2000-10-12 10:41:42,6,
764,JONES,UHMOPWGUEIYCYV,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
765,KAHRMANN,HUZCJKJMJDL,1999-10-13 10:41:42,2000-10-12 10:41:42,9,
766,LING,AWPOJDWRMEGN,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
767,MAKAI,YTZJKRDR,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
768,NELSON,NQLVBHRGODBYZP,1999-10-13 10:41:42,2000-10-12 10:41:42,6,
769,OLPHANT,PXOOXQNAD,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
770,PAYNTER,NBUPBDGLGBBOQL,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
771,QUINT,HEZTOLQ,1999-10-13 10:41:42,2000-10-12 10:41:42,6,
772,RYAN,FRMKOQTIGQOQNU,1999-10-13 10:41:42,2000-10-12 10:41:42,9,
773,STEIN,YDQWUNPGTWEWUL,1999-10-13 10:41:42,2000-10-12 10:41:42,9,
774,TOLSKY,NWIW,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
775,UNAKLET,YFESVLVTFVUKHS,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
776,VANN,UFGDZDTQJFTKYX,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
777,WOLFMULE,SPPWXOJQFUQFQU,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
778,XAVIER,HFMDAZOEFHKSHY,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
779,YEONG,NUDGRGPXLFLV,1999-10-13 10:41:42,2000-10-12 10:41:42,2,488
780,ZUCKER,XPCGDDSURLNKPP,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
781,ANDERSON,VWPGPFUEDAUSJA,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
782,BARR,MGIT,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
783,CHEN,CRCXSLVWFFXUUP,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
784,DORR,QGZHB,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
785,EFLIN,BKQXILDSVZOPXL,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
786,FLORINI,MGOZLWMCSKUIEW,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
787,GOHAN,LBWJTHPBKHEBPS,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
788,HAHN,VJNJUCGGNLRJDU,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
789,INFANTE,HIXIZVCXGJNJND,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
790,JONES,ZSYGMEZWMTLWDO,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
791,KAHRMANN,NXZITENSEUVJWC,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
792,LING,YBJWBYGXXITMRJ,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
793,MAKAI,RPSPIFYAQKVQJE,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
794,NELSON,VZAVUN,1999-10-13 10:41:42,2000-10-12 10:41:42,4,384
795,OLPHANT,YUKGZXEYD,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
796,PAYNTER,SFLOUNCCQDADIS,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
797,QUINT,UITFTRIIMCJBM,1999-10-13 10:41:42,2000-10-12 10:41:42,9,
798,RYAN,TBAJKNYBHGNX,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
799,STEIN,JDMPCOEDPXYBPW,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
800,TOLSKY,JPNDHPHTOEBKOE,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
801,UNAKLET,TNGTBECQ,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
802,VANN,ASDJRGC,1999-10-13 10:41:42,2000-10-12 10:41:42,9,
803,WOLFMULE,NOUJLPYBKDBHV,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
804,XAVIER,IWMGNINPDVALAL,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
805,YEONG,CKAIJPIYXCDFLP,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
806,ZUCKER,YVWALDR,1999-10-13 10:41:42,2000-10-12 10:41:42,9,351
807,ANDERSON,UNGUH,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
808,BARR,XYXWI,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
809,CHEN,NHUYHCCFTEWPLE,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
810,DORR,QYXZAJUHC,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
811,EFLIN,OFYEWHKJOOROIB,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
812,FLORINI,EHMJLTIVEEZLKK,1999-10-13 10:41:42,2000-10-12 10:41:42,9,
813,GOHAN,MXPBYQOQEIWIOW,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
814,HAHN,GTQYVKHKYHORKM,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
815,INFANTE,XNFOUXPOWW,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
816,JONES,DXGIIJ,1999-10-13 10:41:42,2000-10-12 10:41:42,5,414
817,KAHRMANN,HALIA,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
818,LING,JMBVHQDDRJGGMS,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
819,MAKAI,FWHDNSZIPXKOVL,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
820,NELSON,GPUFZZOCVDLGRD,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
821,OLPHANT,NWMRKK,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
822,PAYNTER,KLASVQZPGBSXTW,1999-10-13 10:41:42,2000-10-12 10:41:42,8,
823,QUINT,RAISXJFYWPUJKK,1999-10-13 10:41:42,2000-10-12 10:41:42,6,
824,RYAN,EVU,1999-10-13 10:41:42,2000-10-12 10:41:42,4,
825,STEIN,ZLTTN,1999-10-13 10:41:42,2000-10-12 10:41:42,6,
826,TOLSKY,XDW,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
827,UNAKLET,KNQKWXEENBEJAM,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
828,VANN,CQGKOBLFSYNT,1999-10-13 10:41:42,2000-10-12 10:41:42,7,
829,WOLFMULE,YASPMBEDRMTPU,1999-10-13 10:41:42,2000-10-12 10:41:42,8,354
830,XAVIER,CSUISELTBNEYWE,1999-10-13 10:41:42,2000-10-12 10:41:42,2,
831,YEONG,JUNGGWVBBTG,1999-10-13 10:41:42,2000-10-12 10:41:42,5,
832,ZUCKER,BGM,1999-10-13 10:41:42,2000-10-12 10:41:42,3,
833,ANDERSON,FJGBKQSEMCW,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
834,BARR,JPRVSX,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
835,CHEN,NNP,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
836,DORR,FFRJIMIPYGKQKT,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
837,EFLIN,DQI,1999-10-13 10:41:43,2000-10-12 10:41:43,8,
838,FLORINI,OEBFJHYJQTSI,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
839,GOHAN,HODRFSBQ,1999-10-13 10:41:43,2000-10-12 10:41:43,8,
840,HAHN,XDKJXPHNSNNVGH,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
841,INFANTE,IZFWLQWCNHKLVD,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
842,JONES,GYRSG,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
843,KAHRMANN,TNCJBZTLUQ,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
844,LING,UCESSWYFCSRNTL,1999-10-13 10:41:43,2000-10-12 10:41:43,8,
845,MAKAI,OUCJAFQ,1999-10-13 10:41:43,2000-10-12 10:41:43,7,451
846,NELSON,IOWPHEDXLFBXRF,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
847,OLPHANT,HFZPGSBMFHKPEN,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
848,PAYNTER,PYTUXLVBFASPPF,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
849,QUINT,YKKQREGQM,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
850,RYAN,KPCAGKZ,1999-10-13 10:41:43,2000-10-12 10:41:43,4,417
851,STEIN,XNWQQHINTKQOF,1999-10-13 10:41:43,2000-10-12 10:41:43,7,
852,TOLSKY,EETEXDHVJLVULR,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
853,UNAKLET,LMIDGGIHEDFTKU,1999-10-13 10:41:43,2000-10-12 10:41:43,7,
854,VANN,YFQCCWMORTTZ,1999-10-13 10:41:43,2000-10-12 10:41:43,9,407
855,WOLFMULE,QFKSKILI,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
856,XAVIER,FCHIRLXKZHO,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
857,YEONG,LPHXXQPDXXDKVW,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
858,ZUCKER,JJIIPPDYNPYLXP,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
859,ANDERSON,TWBOSNBELEJJ,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
860,BARR,YEXG,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
861,CHEN,GEYMQWJUUOG,1999-10-13 10:41:43,2000-10-12 10:41:43,3,397
862,DORR,GTF,1999-10-13 10:41:43,2000-10-12 10:41:43,4,
863,EFLIN,LPUHPIDFSF,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
864,FLORINI,CTLMVLYNEDKQDB,1999-10-13 10:41:43,2000-10-12 10:41:43,7,493
865,GOHAN,HJOSMGNF,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
866,HAHN,MCAVWEGRTM,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
867,INFANTE,HOJMJIOIYYTDVW,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
868,JONES,LOIAEOYB,1999-10-13 10:41:43,2000-10-12 10:41:43,4,
869,KAHRMANN,OVWDTQMG,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
870,LING,GYUCEVRNXLBRGG,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
871,MAKAI,HTOYBOQKHEY,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
872,NELSON,WEDZPXRWDUWN,1999-10-13 10:41:43,2000-10-12 10:41:43,4,
873,OLPHANT,XIEYAIE,1999-10-13 10:41:43,2000-10-12 10:41:43,7,216
874,PAYNTER,XLHB,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
875,QUINT,PDJTUJLQAEQQVI,1999-10-13 10:41:43,2000-10-12 10:41:43,4,
876,RYAN,RUXHSY,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
877,STEIN,XXUQA,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
878,TOLSKY,SQWI,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
879,UNAKLET,DLPRKY,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
880,VANN,MCDWV,1999-10-13 10:41:43,2000-10-12 10:41:43,4,
881,WOLFMULE,VNTXLWPRP,1999-10-13 10:41:43,2000-10-12 10:41:43,7,
882,XAVIER,SEKQVLTZXMSBWP,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
883,YEONG,ULNRGLGYDKBSIR,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
884,ZUCKER,NLSOMOKEYHWVQH,1999-10-13 10:41:43,2000-10-12 10:41:43,6,483
885,ANDERSON,UWEOVSPDEDOMAY,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
886,BARR,HSGIPMURCAKUVD,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
887,CHEN,XNNGGDTV,1999-10-13 10:41:43,2000-10-12 10:41:43,4,254
888,DORR,GJSNLHJVDODNUD,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
889,EFLIN,IIOHIWDQYMWLPE,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
890,FLORINI,SIIDQJJVHDKLUK,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
891,GOHAN,HEDNUKRGOAGPRY,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
892,HAHN,OHLTVAMYFPVVWX,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
893,INFANTE,QWFPXRVFLTYKQG,1999-10-13 10:41:43,2000-10-12 10:41:43,2,
894,JONES,XOTYOYQHDEDFRA,1999-10-13 10:41:43,2000-10-12 10:41:43,4,
895,KAHRMANN,TVXXDIGNOW,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
896,LING,URTFTLTVOGMH,1999-10-13 10:41:43,2000-10-12 10:41:43,4,482
897,MAKAI,AYKIOQXFGQREUB,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
898,NELSON,JWEHGWZOMXDPQA,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
899,OLPHANT,QBGYFYNVGXTCCC,1999-10-13 10:41:43,2000-10-12 10:41:43,7,
900,PAYNTER,FDPGCQKJN,1999-10-13 10:41:43,2000-10-12 10:41:43,9,
901,QUINT,JLKFBYHOJCAWMT,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
902,RYAN,WEFV,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
903,STEIN,VAWJKLNTQYQJWV,1999-10-13 10:41:43,2000-10-12 10:41:43,5,
904,TOLSKY,INBEUHTWHJZKRM,1999-10-13 10:41:43,2000-10-12 10:41:43,8,
905,UNAKLET,THVFIPXMBXPVCE,1999-10-13 10:41:43,2000-10-12 10:41:43,2,418
906,VANN,KMGWSZSFMNFDFE,1999-10-13 10:41:43,2000-10-12 10:41:43,2,429
907,WOLFMULE,ETREKXZOBSKHWP,1999-10-13 10:41:43,2000-10-12 10:41:43,7,
908,XAVIER,PPMITFEUKNLEBX,1999-10-13 10:41:43,2000-10-12 10:41:43,3,
909,YEONG,PMS,1999-10-13 10:41:43,2000-10-12 10:41:43,6,
910,ZUCKER,INNKTSIZ,1999-10-13 10:41:43,2000-10-12 10:41:43,4,322
911,ANDERSON,KERVFDMTWOYHEY,1999-10-13 10:41:44,2000-10-12 10:41:44,9,
912,BARR,TUJNMJUHCOQAMT,1999-10-13 10:41:44,2000-10-12 10:41:44,3,384
913,CHEN,RNLWGJ,1999-10-13 10:41:44,2000-10-12 10:41:44,9,
914,DORR,FOLURYTXRUNDCE,1999-10-13 10:41:44,2000-10-12 10:41:44,5,200
915,EFLIN,ZBUTOIUBKUKHKM,1999-10-13 10:41:44,2000-10-12 10:41:44,4,
916,FLORINI,UYBKTBLNMSYXGQ,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
917,GOHAN,JYQJCHKGXWXWTV,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
918,HAHN,QGKXMZI,1999-10-13 10:41:44,2000-10-12 10:41:44,5,
919,INFANTE,ZNEDY,1999-10-13 10:41:44,2000-10-12 10:41:44,8,
920,JONES,JPYSODVXOXU,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
921,KAHRMANN,TMXON,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
922,LING,CKBBMWYGAMLYKN,1999-10-13 10:41:44,2000-10-12 10:41:44,6,
923,MAKAI,YEJXMVPFQATOUH,1999-10-13 10:41:44,2000-10-12 10:41:44,4,
924,NELSON,DOLPSQAKCLVOR,1999-10-13 10:41:44,2000-10-12 10:41:44,9,271
925,OLPHANT,JUXYWDJFOJHFQI,1999-10-13 10:41:44,2000-10-12 10:41:44,4,
926,PAYNTER,TPVEX,1999-10-13 10:41:44,2000-10-12 10:41:44,4,
927,QUINT,MUIFVSQGIOFNBE,1999-10-13 10:41:44,2000-10-12 10:41:44,8,
928,RYAN,XIXGXCHEWLWTUR,1999-10-13 10:41:44,2000-10-12 10:41:44,5,
929,STEIN,BPFMAQYKIQDFUE,1999-10-13 10:41:44,2000-10-12 10:41:44,3,
930,TOLSKY,KHPKN,1999-10-13 10:41:44,2000-10-12 10:41:44,3,
931,UNAKLET,ZMULKPCXKBSRJR,1999-10-13 10:41:44,2000-10-12 10:41:44,6,
932,VANN,ULPMYVCHBSDO,1999-10-13 10:41:44,2000-10-12 10:41:44,3,
933,WOLFMULE,HCGBUPXXOXLGTR,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
934,XAVIER,VJGWCMJ,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
935,YEONG,QORZLBKXOZYP,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
936,ZUCKER,EROVLJESGNILTM,1999-10-13 10:41:44,2000-10-12 10:41:44,4,
937,ANDERSON,KJOJQIAUYFSEIH,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
938,BARR,OIT,1999-10-13 10:41:44,2000-10-12 10:41:44,9,
939,CHEN,SYHQHNTCNJFP,1999-10-13 10:41:44,2000-10-12 10:41:44,4,406
940,DORR,TXX,1999-10-13 10:41:44,2000-10-12 10:41:44,8,
941,EFLIN,QMNVHJUMICIDHS,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
942,FLORINI,RJJKRBRXWVDLNL,1999-10-13 10:41:44,2000-10-12 10:41:44,9,
943,GOHAN,ODPFNEFEXBFXGT,1999-10-13 10:41:44,2000-10-12 10:41:44,7,432
944,HAHN,SCDCFCOTB,1999-10-13 10:41:44,2000-10-12 10:41:44,5,343
945,INFANTE,PZXCLFKEBMEICF,1999-10-13 10:41:44,2000-10-12 10:41:44,2,497
946,JONES,OBVTXCYRE,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
947,KAHRMANN,EQKLWR,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
948,LING,YBNHHFJCCRRWFD,1999-10-13 10:41:44,2000-10-12 10:41:44,5,
949,MAKAI,RENKVQVECDMOEP,1999-10-13 10:41:44,2000-10-12 10:41:44,3,270
950,NELSON,XQIINFXFWVVJYR,1999-10-13 10:41:44,2000-10-12 10:41:44,9,33
951,OLPHANT,DICHOGGFEB,1999-10-13 10:41:44,2000-10-12 10:41:44,3,312
952,PAYNTER,LEEGIAFFLKRXO,1999-10-13 10:41:44,2000-10-12 10:41:44,3,
953,QUINT,KLPTBYGRPH,1999-10-13 10:41:44,2000-10-12 10:41:44,5,
954,RYAN,ESGFD,1999-10-13 10:41:44,2000-10-12 10:41:44,5,
955,STEIN,ZAGXKQPGUKBPTW,1999-10-13 10:41:44,2000-10-12 10:41:44,6,
956,TOLSKY,YUQ,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
957,UNAKLET,TYJFKKRPDVXOER,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
958,VANN,TBJCWJDBQY,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
959,WOLFMULE,FJSBVKNEAVCYRR,1999-10-13 10:41:44,2000-10-12 10:41:44,8,252
960,XAVIER,UCXSTUDOUVDJXE,1999-10-13 10:41:44,2000-10-12 10:41:44,9,408
961,YEONG,HTHCMTZMMSYL,1999-10-13 10:41:44,2000-10-12 10:41:44,8,
962,ZUCKER,LVKYBVINAQUVVM,1999-10-13 10:41:44,2000-10-12 10:41:44,8,
963,ANDERSON,DWYETPEIOSWFCQ,1999-10-13 10:41:44,2000-10-12 10:41:44,5,203
964,BARR,CIPKCPENIMLO,1999-10-13 10:41:44,2000-10-12 10:41:44,3,
965,CHEN,ROBQ,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
966,DORR,EPRMADHKQMTS,1999-10-13 10:41:44,2000-10-12 10:41:44,5,
967,EFLIN,DIOHPFHTUNK,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
968,FLORINI,MKGJQLPKPLZUPR,1999-10-13 10:41:44,2000-10-12 10:41:44,4,
969,GOHAN,GEXWXFBXSBXG,1999-10-13 10:41:44,2000-10-12 10:41:44,3,203
970,HAHN,NINVFFLCUSUUTE,1999-10-13 10:41:44,2000-10-12 10:41:44,7,
971,INFANTE,PJOIMFNSXDNPPN,1999-10-13 10:41:44,2000-10-12 10:41:44,7,393
972,JONES,BCFJKBJLBFYXYA,1999-10-13 10:41:44,2000-10-12 10:41:44,7,467
973,KAHRMANN,TTANBBCNOMEYFF,1999-10-13 10:41:44,2000-10-12 10:41:44,6,
974,LING,ACOKJSFXKIZTK,1999-10-13 10:41:44,2000-10-12 10:41:44,9,
975,MAKAI,UWNSGU,1999-10-13 10:41:44,2000-10-12 10:41:44,6,
976,NELSON,WMSF,1999-10-13 10:41:44,2000-10-12 10:41:44,2,
